[MALE] was at the county fair .|||he saw a clown there and it scared him so much that he ran away .
[MALE] had no way of paying rent .|||[MALE] found a job as a waiter . it was only part-time but it paid the bills . he also started taking classes at the local community college .
[MALE] is a traveling man .|||he is always on the go , visiting new places and seeing new things . he loves to travel , but he always misses his family when he 's away . he 's a traveling man , but his heart is always at home .
[NEUTRAL] went ice skating with her mom and dad .|||[NEUTRAL] was n't good at a lot of sports . one afternoon , his mum took him ice skating . [NEUTRAL] was a natural . he loved it because he said the ice did the work for him .
[FEMALE] bought a new pair of high heels .|||she wanted to wear them to her friend 's wedding but she was scared they would be too high . she asked her friend if she could try them on at the wedding . her friend said yes and she looked amazing in them .
[FEMALE] was going to visit her family out of town .|||she was going to take the bus but when she got to the bus stop there was a lot of snow on the ground . she decided to call her mom and ask if she could come and pick her up . her mom said yes and she was glad she did n't have to take the bus .
[MALE] had just gotten paid .|||[MALE] had just gotten paid and he was looking for a new house . his wife [FEMALE] did not want to move , but [MALE] convinced her to look at a couple new houses . they did not see any that they liked , and [FEMALE] refused to move . [FEMALE] and her family were attending her grandpa 's funeral . [FEMALE] did not want to sit in the front row , so she waited in the lobby till everyone was seated . she .
[FEMALE] went to a local ice cream factory .|||she found the tour very interesting . she learned how the ice cream is made and how the different flavors are created . she also got to try some of the ice cream and she loved the mint chocolate chip flavor .
[MALE] worked at a restaurant .|||[MALE] worked at a restaurant as a server . he enjoyed the job , but he always felt like he was rushing and never had enough time to enjoy his shift . one day , he quit and decided to start his own restaurant .
[FEMALE] made coffee for her guests .|||[FEMALE] made coffee for her guests in her new house . the coffee was made in the new kitchen , which [FEMALE] was very proud of . the guests were very impressed with the coffee and the kitchen .
[FEMALE] 's dog [FEMALE] does n't like to go out on the leash .|||[FEMALE] 's dog does not like to go out on the leash . she barks and whines until [FEMALE] brings her back inside . [FEMALE] has tried training the dog , but it does not seem to help .
in class one day , we heard a loud bang .|||ian , one of my classmates , had a desk near the window . when the bang happened , ian 's desk fell over and smashed the window .[male] wants to move to a new house but his wife [FEMALE] does not want to move . [MALE] convinces her to look at a couple new houses . she does not see any that she likes . [FEMALE] refuses to move.[female] and her family were attending her grandpa 's funeral . fem .
